NAME,MpG,PpG,RpG,ApG,P+R+A,PRA_Rank,TS%,USG%,VI,ORtg,DRtg
Nique Clifford,23.4,7.6,3.5,2.0,13.1,296,0.492,16.4,6.4,98.7,115.6
Oso Ighodaro,20.9,6.0,4.8,2.0,12.8,301,0.635,12.1,7.4,120.0,103.7
Vit Krejci,22.3,9.0,2.1,1.5,12.6,306,0.637,14.4,5.5,121.5,110.0
Lonzo Ball,20.8,4.6,4.0,3.9,12.5,310,0.432,13.7,8.0,100.3,109.7
Blake Hinson,20.8,9.4,2.4,0.8,12.5,310,0.649,14.8,5.0,130.1,119.5
Vit Krejci,20.7,7.7,2.9,1.7,12.3,316,0.532,15.1,6.5,118.2,112.5
Luke Kennard,20.5,7.9,2.2,2.1,12.2,320,0.713,12.7,6.5,134.4,115.2
Keon Ellis,23.8,7.7,2.9,1.6,12.2,320,0.666,11.2,5.5,133.4,107.7
Daeqwon Plowden,23.5,7.9,3.2,1.1,12.1,323,0.524,14.4,5.2,114.7,118.7
Jevon Carter,21.7,6.9,2.2,2.8,11.9,332,0.477,16.0,6.4,102.3,112.0
Brook Lopez,20.1,7.8,3.1,1.1,11.9,332,0.548,17.4,5.9,108.3,109.9
Ben Sheppard,21.8,6.9,3.1,1.8,11.8,336,0.542,13.6,6.2,112.1,114.5
Dean Wade,22.5,5.8,4.3,1.5,11.7,338,0.578,10.0,5.9,129.8,110.3
Bryce McGowens,21.0,8.1,2.1,1.5,11.7,338,0.61,14.0,5.6,128.2,113.9
Kobe Sanders,20.6,6.9,2.4,1.6,10.9,358,0.578,15.7,5.8,106.7,110.4
Sion James,23.2,5.5,3.5,2.0,10.9,358,0.541,10.7,5.8,116.1,110.5
Kris Murray,24.1,5.8,3.8,1.1,10.8,360,0.528,10.6,4.8,114.6,113.6
Bradley Beal,20.2,8.2,0.8,1.7,10.7,361,0.476,22.2,4.4,92.2,111.2
Cody Williams,21.5,6.3,2.6,1.3,10.2,375,0.527,12.9,5.2,108.3,119.2
Gary Trent Jr.,21.1,7.5,1.0,1.3,9.8,383,0.528,16.1,4.0,105.7,119.6
Sidy Cissoko,21.1,5.8,2.4,1.5,9.6,388,0.522,12.7,5.2,107.0,108.7
Spencer Jones,22.6,5.6,3.2,0.8,9.6,388,0.615,9.7,4.3,126.6,108.1
De'Andre Hunter,25.5,7.5,1.5,0.5,9.5,391,0.347,21.3,2.8,68.1,118.9
John Konchar,24.0,2.9,4.2,2.0,9.1,403,0.387,7.7,4.8,103.5,115.3
Taurean Prince,20.8,5.4,1.8,0.9,8.1,423,0.566,11.4,4.0,106.2,112.0
