NAME,MpG,PpG,RpG,ApG,P+R+A,PRA_Rank,TS%,USG%,VI,ORtg,DRtg
Walker Kessler,30.8,14.4,10.8,3.0,28.2,62,0.786,16.6,10.1,130.0,107.7
Stephon Castle,29.7,16.3,4.9,6.9,28.1,63,0.565,24.9,11.0,113.5,103.1
Chet Holmgren,29.3,17.3,9.0,1.8,28.1,63,0.646,22.1,8.9,125.0,101.0
Kon Knueppel,32.0,19.2,5.3,3.4,28.0,65,0.653,22.2,8.8,126.5,111.5
Bennedict Mathurin,29.5,19.4,6.1,2.4,27.8,66,0.549,29.7,8.9,112.0,107.4
Derrick White,34.3,17.5,4.5,5.7,27.6,68,0.529,23.1,8.9,118.4,113.6
Ivica Zubac,30.9,14.4,11.0,2.2,27.6,68,0.635,19.0,9.1,126.3,108.9
Immanuel Quickley,32.5,17.3,4.2,6.1,27.6,68,0.586,21.5,9.4,122.0,110.9
Jalen Williams,29.1,17.5,4.7,5.4,27.6,68,0.555,26.3,10.5,114.5,104.1
Alexandre Sarr,27.8,17.1,7.7,2.7,27.5,71,0.558,25.6,10.2,114.0,116.6
Russell Westbrook,28.9,15.5,5.4,6.5,27.4,72,0.533,26.1,11.3,104.7,115.0
RJ Barrett,29.9,18.7,5.4,3.3,27.4,72,0.581,25.4,9.3,115.0,108.4
Darius Garland,30.5,18.0,2.4,6.9,27.3,74,0.567,25.7,8.8,114.1,115.0
Andrew Nembhard,31.4,17.1,2.8,7.4,27.3,74,0.559,23.9,9.0,113.2,116.8
Onyeka Okongwu,31.4,16.1,7.8,3.3,27.2,76,0.6,20.2,9.5,117.5,106.2
Nickeil Alexander-Walker,33.2,20.0,3.5,3.7,27.2,76,0.586,24.2,7.7,112.6,114.0
Jrue Holiday,28.9,16.5,4.4,6.2,27.1,78,0.585,23.7,10.6,117.5,114.9
Coby White,29.1,18.6,3.7,4.7,27.0,79,0.586,27.4,9.4,108.6,113.3
Jaren Jackson Jr.,30.7,19.2,5.8,1.9,26.9,80,0.574,25.6,7.8,107.6,106.5
Miles Bridges,31.8,17.5,5.9,3.4,26.8,81,0.559,22.8,8.9,118.7,112.6
Ryan Rollins,32.3,16.6,4.7,5.5,26.8,81,0.57,23.6,9.3,110.4,112.7
Dillon Brooks,30.6,20.9,3.7,1.8,26.3,83,0.547,28.9,6.8,109.7,108.1
Payton Pritchard,32.5,16.9,4.1,5.4,26.3,83,0.578,21.2,8.9,126.8,114.4
Jusuf Nurkic,26.4,10.9,10.4,4.8,26.0,85,0.548,19.4,12.4,111.0,106.9
Darius Garland,25.3,17.8,2.4,5.8,26.0,85,0.611,30.8,9.9,115.0,114.5
CJ McCollum,30.9,18.8,3.5,3.6,25.9,87,0.573,24.4,8.0,114.7,121.5
Zach Edey,25.8,13.6,11.1,1.1,25.8,88,0.669,20.2,8.5,120.6,102.3
Saddiq Bey,30.9,17.3,5.8,2.5,25.6,89,0.579,21.4,8.2,124.7,119.2
Jarrett Allen,27.5,15.3,8.5,1.9,25.6,89,0.67,19.4,9.1,133.4,109.0
CJ McCollum,28.4,18.3,3.4,3.8,25.5,91,0.552,27.2,8.7,109.5,116.0
Donovan Clingan,27.3,11.8,11.5,2.1,25.5,91,0.602,16.4,9.6,131.6,107.9
Bennedict Mathurin,31.8,17.8,5.4,2.3,25.4,93,0.589,23.0,7.6,109.6,113.5
DeMar DeRozan,31.7,18.4,3.1,3.9,25.3,94,0.591,22.4,7.6,123.6,119.5
Aaron Gordon,27.5,16.6,6.1,2.5,25.2,95,0.617,22.9,9.2,128.1,113.8
Jaime Jaquez Jr.,28.7,15.1,5.3,4.7,25.1,96,0.563,22.0,10.1,113.4,109.8
Paul George,30.5,16.0,5.2,3.7,24.9,97,0.556,22.1,8.9,113.6,110.8
Kristaps Porzingis,24.3,17.1,5.1,2.7,24.9,97,0.592,26.4,10.2,123.3,105.4
VJ Edgecombe,35.1,15.4,5.5,3.9,24.8,99,0.536,19.5,7.9,112.3,111.1
Jerami Grant,29.8,19.0,3.5,2.3,24.7,100,0.607,24.1,7.2,119.6,113.3
Grayson Allen,30.0,17.3,3.0,4.1,24.5,102,0.569,23.9,8.0,119.2,112.1
Josh Hart,30.0,11.8,7.6,5.1,24.5,102,0.592,16.9,10.3,121.1,105.6
Kyshawn George,29.0,14.8,5.1,4.5,24.4,104,0.559,22.8,9.6,107.9,112.9
Dyson Daniels,33.3,11.5,6.6,6.2,24.3,105,0.528,15.9,9.3,117.5,111.6
Zach LaVine,31.4,19.2,2.8,2.3,24.2,106,0.614,23.7,6.3,114.4,119.8
O.G. Anunoby,33.2,16.6,5.2,2.2,24.0,108,0.608,19.9,6.9,117.6,108.1
Rudy Gobert,31.4,10.8,11.3,1.8,24.0,108,0.677,12.5,7.7,137.1,106.3
Jabari Smith Jr.,34.8,15.4,6.8,1.8,24.0,108,0.574,17.7,6.6,120.9,109.6
Andrew Wiggins,31.0,15.9,5.1,2.8,23.8,110,0.579,20.0,7.9,116.2,109.5
Santi Aldama,27.9,14.0,6.7,2.9,23.6,111,0.572,20.1,9.3,117.4,113.0
Matas Buzelis,28.7,15.8,5.5,2.1,23.4,112,0.597,22.4,7.9,110.2,112.2
Nic Claxton,28.8,12.1,7.1,4.0,23.2,113,0.597,17.4,9.7,126.0,113.8
Mikal Bridges,33.6,15.0,4.1,3.9,23.1,114,0.587,17.5,7.4,125.6,111.2
Anthony Black,30.7,15.3,3.9,3.8,23.0,115,0.551,22.1,7.9,108.4,108.2
Isaiah Hartenstein,25.4,10.2,9.2,3.5,22.9,116,0.645,16.7,10.9,129.6,97.1
Naji Marshall,29.5,15.0,4.7,3.1,22.8,117,0.609,19.7,8.2,119.8,111.7
Jalen Suggs,26.4,13.7,3.7,5.2,22.7,118,0.566,23.6,9.7,109.4,104.3
Derik Queen,25.2,11.7,7.0,3.9,22.7,118,0.552,21.5,10.9,109.6,108.2
P.J. Washington,30.8,13.9,6.8,1.9,22.6,121,0.525,20.5,7.3,102.3,110.1
Collin Gillespie,28.9,13.6,4.2,4.8,22.6,121,0.596,19.2,9.0,123.9,112.9
Naz Reid,26.1,13.9,6.3,2.3,22.6,121,0.582,21.9,9.0,113.4,105.7
Cedric Coward,26.1,13.4,6.4,2.8,22.5,123,0.582,21.2,9.5,113.8,111.5
Jaden McDaniels,31.9,14.7,4.3,2.8,21.8,124,0.619,18.1,7.0,118.7,107.9
Peyton Watson,30.6,14.9,4.9,2.0,21.8,124,0.6,20.2,6.9,113.0,111.6
Ayo Dosunmu,26.4,15.0,3.0,3.6,21.7,126,0.636,21.0,8.3,124.6,115.9
Deandre Ayton,27.3,12.5,8.3,0.9,21.6,127,0.672,16.8,6.6,129.0,108.8
Brandin Podziemski,27.9,12.6,5.2,3.8,21.6,127,0.564,19.4,9.0,115.1,111.2
Marvin Bagley III,23.1,11.6,8.3,1.6,21.4,129,0.599,19.0,9.3,127.1,108.3
Ajay Mitchell,26.3,14.3,3.4,3.6,21.4,129,0.592,22.4,8.5,118.5,103.7
Kel'el Ware,22.6,11.4,9.3,0.5,21.3,132,0.618,18.1,6.6,127.5,104.1
Kelly Oubre Jr.,32.4,14.7,4.9,1.7,21.3,132,0.581,18.4,6.1,114.4,111.8
Keegan Murray,34.5,14.0,5.7,1.7,21.3,132,0.499,18.7,6.0,103.7,119.4
Wendell Carter Jr.,29.5,11.5,7.6,2.1,21.2,134,0.606,15.4,7.7,124.3,103.6
Bobby Portis,24.0,13.3,6.3,1.5,21.2,134,0.595,22.5,8.3,116.3,112.9
Isaiah Collier,25.6,11.4,2.5,7.2,21.1,137,0.572,20.0,9.2,114.8,117.2
Dennis Schroder,26.4,12.8,3.1,5.3,21.1,137,0.531,22.5,9.0,109.7,119.4
Donte DiVincenzo,31.0,12.5,4.4,4.2,21.1,137,0.583,16.7,7.9,119.9,109.7
Anfernee Simons,28.4,15.2,2.8,3.0,21.0,139,0.554,23.6,7.1,103.3,117.5
Tre Jones,26.8,12.5,2.9,5.5,20.9,140,0.628,17.8,8.7,130.7,116.5
Jalen Green,23.4,15.4,3.2,2.4,20.9,140,0.475,33.1,8.4,95.5,113.7
Toumani Camara,33.6,12.8,5.4,2.5,20.8,142,0.558,16.1,6.6,111.6,111.7
Julian Reese,31.1,8.5,10.3,2.0,20.8,142,0.629,12.1,7.2,121.9,110.1
Kyle Kuzma,26.7,13.4,4.7,2.6,20.7,144,0.582,21.7,8.2,112.7,114.4
Jaylon Tyson,27.4,13.3,5.1,2.2,20.6,145,0.617,18.7,7.7,121.2,109.3
Mark Williams,23.6,11.6,8.0,1.0,20.6,145,0.67,17.4,7.7,135.8,105.4
Jonathan Kuminga,23.8,12.1,5.9,2.5,20.5,148,0.543,23.9,9.5,103.6,110.7
Devin Vassell,30.6,14.2,3.9,2.4,20.5,148,0.572,18.4,6.7,116.8,110.6
Cam Thomas,24.2,15.6,1.8,3.1,20.5,148,0.527,30.2,7.3,104.5,121.1
Collin Sexton,25.1,16.2,2.2,2.1,20.4,150,0.625,25.5,6.7,109.5,112.2
Tobias Harris,28.3,13.1,5.1,2.2,20.4,150,0.557,18.6,7.5,117.8,108.4
Alondes Williams,25.2,11.0,6.3,3.0,20.3,153,0.745,14.3,9.4,140.7,120.4
Jaden Ivey,28.9,11.5,4.8,4.0,20.3,153,0.576,16.7,8.4,119.3,111.1
De'Andre Hunter,26.2,14.0,4.2,2.1,20.3,153,0.553,22.9,7.6,109.0,108.7
Jeremiah Fears,25.3,13.1,3.7,3.3,20.1,155,0.514,24.8,8.6,101.0,114.9
Scoot Henderson,22.9,13.2,2.7,4.2,20.1,155,0.541,26.6,9.3,106.4,109.0
Quentin Grimes,29.8,13.0,3.6,3.4,20.0,157,0.593,18.2,7.3,115.5,113.9
John Collins,27.7,13.8,5.2,1.0,19.9,158,0.653,19.1,6.0,122.4,109.4
Kyle Filipowski,22.9,10.5,7.0,2.3,19.9,158,0.591,19.0,9.7,116.5,108.6
Brandon Williams,22.2,13.1,2.9,3.8,19.8,160,0.568,25.5,9.5,111.1,111.7
Collin Sexton,22.3,14.2,1.9,3.7,19.8,160,0.619,25.7,8.3,119.9,111.1
Keldon Johnson,23.3,12.9,5.5,1.3,19.7,162,0.631,20.1,7.8,127.1,105.3
Aaron Nesmith,29.6,13.1,4.5,2.1,19.6,163,0.524,19.7,6.7,106.0,114.0
Neemias Queta,24.9,9.9,8.3,1.4,19.6,163,0.656,15.0,7.8,135.2,101.2
Cam Spencer,23.9,11.3,2.7,5.5,19.5,165,0.653,17.4,9.2,133.2,115.9
Jock Landale,23.6,11.3,6.5,1.7,19.5,165,0.594,18.5,8.5,125.5,110.5
Reed Sheppard,25.8,13.4,2.8,3.2,19.4,168,0.558,22.0,7.6,116.2,108.8
Nikola Vucevic,21.6,10.4,7.2,1.8,19.4,168,0.532,21.5,9.5,116.9,104.1
Draymond Green,27.1,8.6,5.6,5.3,19.4,168,0.539,16.5,9.4,104.3,106.0
Maxime Raynaud,25.0,10.9,7.2,1.2,19.4,168,0.601,17.4,7.3,119.3,113.0
Myles Turner,27.6,12.3,5.5,1.5,19.3,171,0.586,18.7,6.8,114.9,111.7
Jakob Poeltl,25.6,9.9,7.4,2.0,19.3,171,0.7,14.1,8.2,132.7,102.3
Ausar Thompson,25.6,10.2,5.9,2.9,19.0,174,0.545,17.4,8.7,115.6,101.2
Jordan Poole,24.5,13.9,2.1,3.1,19.0,174,0.538,25.0,7.3,107.4,115.1
Khris Middleton,24.7,12.2,3.8,3.0,19.0,174,0.547,22.3,8.4,107.0,110.5
Anfernee Simons,24.5,14.2,2.4,2.4,18.9,176,0.579,23.7,7.1,119.0,112.3
Noah Clowney,28.0,12.8,4.1,1.7,18.7,179,0.56,20.3,6.4,108.6,113.4
Guerschon Yabusele,25.8,10.2,6.3,2.2,18.7,179,0.547,17.1,8.1,112.5,112.2
Moussa Diabate,25.9,8.1,8.7,1.8,18.7,179,0.653,11.7,7.8,142.1,106.4
Tari Eason,26.4,10.8,6.2,1.7,18.7,179,0.536,18.4,7.3,112.3,105.8
Kristaps Porzingis,20.2,12.7,3.3,2.7,18.7,179,0.516,28.5,9.6,106.9,109.9
Julian Champagnie,27.8,11.2,5.9,1.5,18.6,182,0.615,15.2,6.7,122.3,108.0
Christian Braun,31.7,10.8,4.9,2.9,18.6,182,0.583,14.4,6.8,122.8,114.1
Jalen Smith,20.6,10.2,7.0,1.3,18.5,184,0.599,19.3,8.8,120.5,107.9
Max Christie,29.6,12.7,3.5,2.1,18.4,186,0.601,16.8,6.1,114.2,115.3
De'Anthony Melton,22.5,13.0,3.1,2.3,18.4,186,0.525,26.4,8.0,103.7,107.0
Jarace Walker,25.1,11.1,5.0,2.3,18.4,186,0.532,20.6,8.0,100.3,113.6
Scotty Pippen Jr.,21.2,11.4,2.2,4.7,18.3,188,0.537,26.0,9.3,103.5,104.0
Dylan Harper,22.1,11.1,3.3,3.8,18.2,191,0.552,22.0,9.4,113.6,106.1
Nick Richards,22.9,9.5,8.2,0.4,18.2,191,0.587,18.6,5.5,106.3,106.6
Ace Bailey,27.1,12.5,4.0,1.7,18.2,191,0.53,20.1,6.5,106.1,116.9
Davion Mitchell,28.3,8.9,2.6,6.7,18.2,191,0.571,13.3,7.6,121.3,108.1
Miles McBride,28.0,12.9,2.6,2.8,18.2,191,0.592,17.7,6.5,125.0,112.1
Bub Carrington,27.6,9.8,3.6,4.6,18.0,194,0.534,17.5,7.9,102.7,119.1
Tim Hardaway Jr.,27.3,14.0,2.6,1.3,17.9,195,0.635,18.4,5.3,125.4,117.7
Brice Sensabaugh,22.3,13.1,3.0,1.7,17.8,196,0.574,23.6,7.3,111.3,118.3
